1	93
2	120
3	234
4	545
5	1393
6	956
7	2737
8	1961
9	1519
10	1244
11	1056
12	812
13	2691
14	2207
15	1859
16	1689
17	1483
18	1430
19	1208
20	1091
21	1016
22	989
23	3526
1	109
2	137
3	270
4	545
5	1386
6	895
7	2467
8	1682
9	995
10	2828
11	1803
12	1154
13	752
14	2201
15	1490
16	1040
17	717
18	2073
19	1389
20	767
21	2242
22	1377
23	828
24	2413
25	1621
26	1141
27	741
28	2151
29	1483
30	923
31	2710
32	1839
33	1158
34	719
35	2060
36	1337
37	916
38	2602
39	1707
40	1153
41	732
42	2183
43	1397
44	991
45	2616
1	106
2	160
3	360
4	1038
5	732
6	2440
7	2113
8	1959
9	1662
10	1482
11	1317
12	1132
13	771
14	2687
15	2237
16	1564
17	1111
18	762
19	2500
20	1647
21	1095
22	690
23	2285
24	1402
25	872
26	2824
27	1977
28	1226
29	827
30	2570
31	1682
32	1180
33	667
34	2091
35	1215
36	751
37	2442
38	1646
39	1075
40	703
41	2236
42	1446
43	1021
44	666
45	2111
1	95
2	153
3	306
4	679
5	1549
6	834
7	2104
8	1292
9	847
10	2254
11	1583
12	1108
13	757
14	2203
15	1508
16	1104
17	709
18	2170
19	1639
20	1149
21	936
22	2882
23	2100
24	1353
25	944
26	2850
27	2134
28	1526
29	995
30	3022
31	2099
32	1547
33	1150
34	876
35	2544
36	1745
37	1179
38	831
39	2402
40	1640
41	925
42	2696
43	1908
44	1269
45	919
1	88
2	144
3	249
4	483
5	1172
6	571
7	1364
8	627
9	1277
10	719
11	1533
12	814
13	1830
14	1006
15	587
16	1418
17	839
18	2241
19	1394
20	915
21	2324
22	1447
23	884
24	2159
25	1261
26	721
27	1769
28	993
29	2622
30	1683
31	992
32	2550
33	1551
34	1002
35	625
36	1579
37	964
38	2526
39	1587
40	1043
41	653
42	1681
43	1029
44	620
45	1667
1	60
2	53
3	42
4	40
5	41
6	46
7	55
8	60
9	61
10	78
11	102
12	150
13	197
14	294
15	459
16	729
17	1294
18	635
19	1368
20	802
21	1876
22	1100
23	703
24	1749
25	1018
26	667
27	1667
28	1008
29	657
30	1593
31	1005
32	616
33	1509
34	895
35	2173
36	1230
37	767
38	1841
39	1125
40	697
41	1691
42	1147
43	690
44	1572
45	928
1	67
2	91
3	173
4	358
5	807
6	1961
7	857
8	1057
9	284
10	331
11	447
12	680
13	1026
14	395
15	650
16	1103
17	453
18	737
19	1359
20	641
21	1171
22	540
23	1020
24	448
25	888
26	1786
27	853
28	1564
29	652
30	1174
31	535
32	972
33	1845
34	858
35	1583
36	733
37	1427
38	620
39	1221
40	567
41	1051
42	533
43	1010
44	518
45	1136
1	89
2	100
3	202
4	539
5	1346
6	882
7	2552
8	1851
9	1326
10	910
11	2703
12	2010
13	1623
14	1162
15	897
16	2691
17	2094
18	1656
19	1183
20	983
21	2916
22	2173
23	1530
24	1051
25	773
26	2217
27	1585
28	979
29	2720
30	1750
31	1065
32	568
33	1337
34	874
35	2232
36	1280
37	767
38	1978
39	1090
40	659
41	1780
42	1050
43	670
44	1816
45	1117
46	700
47	1847
48	1047
49	616
50	1686
51	1024
52	692
53	1982
54	1204
55	782
56	2435
57	1794
58	1074
59	698
60	2228
61	1675
62	1164
63	907
64	2993
65	2234
66	1526
67	1191
68	821
69	2833
70	2225
71	1598
72	1099
73	809
74	2705
75	1989
76	1404
77	1099
78	931
79	3270
80	2668
81	2029
82	1401
83	1044
84	762
85	2661
86	2235
87	1642
88	1187
89	849
90	3050
91	2647
92	2013
93	1583
94	1167
95	899
96	3204
97	2761
98	1955
99	1430
100	1006
1	1635
2	484
3	818
4	1725
5	964
6	2490
7	1658
8	1120
9	728
10	2270
11	1413
12	991
13	2953
14	2032
15	1305
16	756
17	2296
18	1442
19	978
20	3014
21	1940
22	1424
23	953
24	2892
25	2131
26	1426
27	985
28	3047
29	2155
30	1550
31	1133
32	805
33	2526
34	1803
35	1314
36	957
37	2845
38	2066
39	1437
40	1073
41	737
42	2178
43	1709
44	1244
45	915
46	2802
47	2230
48	1592
49	1196
50	865
51	2519
52	1822
53	1158
54	904
55	2742
56	1985
57	1520
58	1208
59	871
60	2576
61	1909
62	1385
63	1013
64	770
65	2253
66	1777
67	1252
68	893
69	2713
70	2052
71	1425
72	1070
73	826
74	2439
75	1739
76	1134
77	807
78	2402
79	1770
80	1277
81	930
82	2842
83	2224
84	1623
85	1093
86	854
87	2676
88	1860
89	1294
90	941
91	2895
92	2172
93	1682
94	1269
95	911
96	2863
97	2204
98	1558
99	1116
100	851
1	8532
2	2427
3	870
4	1717
5	782
6	1763
7	827
8	2108
9	1294
10	799
11	2053
12	1375
13	815
14	2416
15	1655
16	1088
17	747
18	2213
19	1556
20	1141
21	812
22	2427
23	1819
24	1361
25	860
26	2440
27	1788
28	1182
29	895
30	2615
31	1817
32	1317
33	969
34	2974
35	2011
36	1354
37	1014
38	670
39	2074
40	1491
41	1087
42	748
43	2323
44	1681
45	1197
46	815
47	2441
48	1698
49	1211
50	826
51	2534
52	1768
53	1290
54	975
55	3013
56	2305
57	1673
58	1207
59	828
60	2534
61	1801
62	1233
63	840
64	2682
65	1890
66	1321
67	1024
68	707
69	2094
70	1425
71	1047
72	817
73	2528
74	1800
75	1346
76	1114
77	745
78	2394
79	1679
80	1195
81	903
82	2808
83	1969
84	1407
85	1040
86	765
87	2307
88	1575
89	1157
90	832
91	2601
92	1996
93	1475
94	1002
95	815
96	2474
97	1798
98	1324
99	1038
100	729
1	8543
2	2407
3	967
4	2133
5	1125
6	702
7	1953
8	1142
9	859
10	2662
11	1982
12	1501
13	1032
14	857
15	2857
16	2235
17	1718
18	1279
19	967
20	3403
21	2863
22	2419
23	1774
24	1361
25	1154
26	845
27	2961
28	2392
29	1661
30	1390
31	1137
32	957
33	3262
34	2498
35	1862
36	1335
37	1031
38	838
39	2800
40	2416
41	1766
42	1305
43	995
44	3419
45	2668
46	2142
47	1651
48	1245
49	1017
50	655
51	2196
52	1665
53	1273
54	949
55	3220
56	2531
57	1975
58	1622
59	1273
60	997
61	3304
62	2549
63	1912
64	1595
65	1219
66	1043
67	771
68	2638
69	2140
70	1823
71	1467
72	1255
73	990
74	3552
75	2720
76	2225
77	1736
78	1476
79	1165
80	979
81	3420
82	2714
83	2081
84	1695
85	1268
86	1051
87	844
88	3008
89	2561
90	2034
91	1753
92	1442
93	1106
94	787
95	2664
96	2319
97	1948
98	1605
99	1294
100	1079
1	160
2	197
3	361
4	751
5	1887
6	1214
7	705
8	1680
9	857
10	2078
11	1197
12	793
13	2127
14	1231
15	679
16	1934
17	1229
18	842
19	2466
20	1723
21	1146
22	779
23	2366
24	1481
25	1051
26	736
27	2193
28	1410
29	909
30	2671
31	1776
32	1265
33	857
34	2531
35	1739
36	1136
37	743
38	2169
39	1504
40	968
41	2859
42	1864
43	1332
44	856
45	2542
46	1558
47	1007
48	652
49	1939
50	1256
51	890
52	2659
53	1794
54	1110
55	802
56	2345
57	1502
58	901
59	2646
60	1679
61	1120
62	677
63	1958
64	1318
65	874
66	2554
67	1685
68	1104
69	699
70	1972
71	1404
72	940
73	2816
74	1901
75	1262
76	843
77	2539
78	1489
79	921
80	2746
81	1909
82	1365
83	901
84	2610
85	1745
86	1250
87	844
88	2563
89	1740
90	1245
91	825
92	2440
93	1682
94	1141
95	756
96	2305
97	1584
98	1176
99	739
100	2135
1	173
2	214
3	466
4	1212
5	870
6	2828
7	2096
8	1566
9	1212
10	915
11	3121
12	2522
13	2006
14	1509
15	1183
16	881
17	3191
18	2438
19	1858
20	1469
21	1038
22	865
23	2833
24	2138
25	1510
26	990
27	3434
28	2491
29	1671
30	1200
31	847
32	2706
33	2042
34	1412
35	974
36	3202
37	2331
38	1717
39	1130
40	876
41	2885
42	1922
43	1337
44	926
45	2896
46	2012
47	1392
48	972
49	3234
50	2339
51	1680
52	1151
53	921
54	2989
55	2175
56	1506
57	1105
58	716
59	2261
60	1540
61	1132
62	775
63	2570
64	1750
65	1220
66	895
67	2921
68	1907
69	1356
70	1000
71	729
72	2361
73	1740
74	1246
75	781
76	2569
77	1780
78	1324
79	873
80	2932
81	2001
82	1397
83	1063
84	778
85	2356
86	1685
87	1214
88	859
89	2745
90	2032
91	1560
92	1016
93	757
94	2512
95	1720
96	1175
97	858
98	2830
99	2015
100	1416
1	170
2	248
3	444
4	1005
5	642
6	1761
7	1187
8	709
9	2074
10	1544
11	1188
12	884
13	2907
14	2273
15	1673
16	1389
17	1113
18	872
19	2872
20	2330
21	1806
22	1344
23	990
24	3274
25	2694
26	2202
27	1796
28	1429
29	1191
30	896
31	2845
32	2287
33	1753
34	1291
35	1044
36	820
37	2774
38	2322
39	1707
40	1420
41	1112
42	815
43	2736
44	2174
45	1701
46	1282
47	954
48	3022
49	2501
50	2030
51	1557
52	1166
53	923
54	3164
55	2343
56	1780
57	1484
58	1089
59	839
60	2731
61	2232
62	1692
63	1451
64	1113
65	866
66	2951
67	2203
68	1735
69	1239
70	825
71	2616
72	1864
73	1216
74	841
75	2761
76	1968
77	1453
78	1158
79	889
80	2858
81	2276
82	1576
83	1255
84	866
85	3011
86	2233
87	1514
88	1107
89	860
90	2930
91	2124
92	1569
93	1057
94	784
95	2693
96	1955
97	1376
98	1009
99	692
100	2208
101	1565
102	1245
103	968
104	3126
105	2333
106	1681
107	1199
108	862
109	2892
110	2172
111	1659
112	1208
113	906
114	2942
115	2135
116	1483
117	1165
118	846
119	2740
120	1999
121	1298
122	963
123	3207
124	2426
125	1839
126	1239
127	838
128	2689
129	1922
130	1317
131	960
132	3175
133	2389
134	1606
135	1151
136	903
137	2813
138	2142
139	1525
140	1167
141	895
142	2892
143	1990
144	1354
145	984
146	3218
147	2271
148	1623
149	1051
150	663
151	2102
152	1523
153	1156
154	690
155	2178
156	1519
157	1174
158	720
159	2367
160	1633
161	1210
162	801
163	2473
164	1813
165	1193
166	852
167	2799
168	2001
169	1259
170	829
171	2579
172	1707
173	1197
174	963
175	3103
176	2370
177	1746
178	1283
179	849
180	2811
181	2133
182	1538
183	1132
184	739
185	2304
186	1653
187	1122
188	836
189	2613
190	1862
191	1208
192	811
193	2578
194	1798
195	1403
196	1012
197	748
198	2406
199	1847
200	1246
201	922
202	2926
203	2037
204	1401
205	1001
206	831
207	2637
208	1809
209	1285
210	876
211	2761
212	1956
213	1500
214	1081
215	738
216	2263
217	1577
218	1073
219	759
220	2361
221	1742
222	1176
223	901
224	2713
225	1849
226	1352
227	1037
228	750
229	2419
230	1726
231	1199
232	853
233	2851
234	1999
235	1532
236	1059
237	798
238	2515
239	1847
240	1281
241	903
242	2697
243	1971
244	1427
245	955
246	3028
247	2091
248	1537
249	1053
250	706
251	2364
252	1861
253	1489
254	1176
255	847
256	2610
257	1759
258	1303
259	822
260	2585
261	1628
262	1191
263	842
264	2687
265	1977
266	1473
267	1074
268	777
269	2488
270	1858
271	1378
272	1022
273	691
274	2189
275	1511
276	1006
277	693
278	2163
279	1526
280	1163
281	884
282	2852
283	2039
284	1460
285	1078
286	722
287	2222
288	1632
289	1268
290	975
291	3048
292	2161
293	1517
294	1010
295	709
296	2281
297	1537
298	1203
299	899
300	2889
301	2220
302	1699
303	1137
304	775
305	2441
306	1769
307	1140
308	745
309	2372
310	1769
311	1373
312	901
313	2753
314	2024
315	1461
316	1047
317	831
318	2639
319	1897
320	1345
321	855
322	2821
323	1737
324	1123
325	748
326	2261
327	1580
328	1107
329	778
330	2445
331	1743
332	1235
333	844
334	2738
335	2066
336	1522
337	1016
338	787
339	2490
340	1635
341	1327
342	941
